4.339057112665120064e-01,2.927113208618585261e-01,5.429478726185016368e-01,4.773261335699297558e-01,5.774483802275238720e-01,7.294693552001058068e-01,3.554565966214355832e-01,4.990193447656726677e-01,6.740568864406354388e-01,5.209993974517043019e-02,6.831944847848324676e-01,6.855154259128675154e-01,5.301677134417849329e-05,0.000000000000000000e+00
4.337552379035433114e-01,2.927167997442574610e-01,5.428560003287604685e-01,4.770322847458628446e-01,5.775709077837540839e-01,7.293739497928255489e-01,3.383037832255967325e-01,9.978772615746027697e-01,6.717959086247885514e-01,5.140974347135101458e-02,6.829957660643760642e-01,6.852234185097315633e-01,5.565160624807576105e-05,0.000000000000000000e+00
4.337524352202650757e-01,2.926790201107621336e-01,5.428628016691356972e-01,4.771159226692840427e-01,5.772372275077962689e-01,7.294447510735450058e-01,3.790743660804010151e-01,1.114856665130337099e-03,6.717925213481532598e-01,5.140294799793321961e-02,6.829545595967130289e-01,6.876103173028329518e-01,5.693545517741597801e-05,0.000000000000000000e+00
4.360545736835437780e-01,2.942153459370574486e-01,5.434345748427782397e-01,4.775951512915272978e-01,5.768596252960551674e-01,7.301974986093102693e-01,8.580360633811232596e-01,1.807032992987294695e-01,6.717802275434737735e-01,5.142050020424766832e-02,6.831572413893184370e-01,6.891201278146118492e-01,5.416858375191312787e-05,0.000000000000000000e+00
6.237865499278661963e-01,1.600392120367146176e-01,5.480122724617466634e-01,4.301639145651035001e-01,5.303274563516431339e-01,7.559879790390700016e-01,3.474561321233319289e-01,5.017371862190658227e-01,6.708930400561574636e-01,5.306060872582682442e-02,6.902763576031955006e-01,6.906913735126002374e-01,5.611279883782318212e-05,0.000000000000000000e+00
5.771253466865623460e-01,3.869657672029178097e-01,5.496636456556723838e-01,4.536555277095293826e-01,5.448618710011934319e-01,7.441945016223067144e-01,3.466743172505176163e-01,5.047560162581327114e-01,6.720771246973610280e-01,5.089135299588477129e-02,6.831491447359115954e-01,6.856510042883896539e-01,5.507418974538575308e-05,0.000000000000000000e+00
4.333293998623943821e-01,2.941526017401600579e-01,5.387189135632894921e-01,5.181201436439965002e-01,5.775261808137579500e-01,7.293179234704521008e-01,3.546429762736900693e-01,4.977399515549701947e-01,6.734024812490811973e-01,5.088088216725075719e-02,6.832759077025352124e-01,6.856417231996716488e-01,9.875574554353349077e-01,0.000000000000000000e+00
4.386861241550675250e-01,2.949649528089693939e-01,5.400015343042346982e-01,4.737375562394678941e-01,5.751399495660366457e-01,7.262568493923632351e-01,4.906540128461913675e-01,4.961659086401776220e-01,6.723064872471269382e-01,5.133522285663473517e-02,6.831592709518006235e-01,6.808194074964385445e-01,5.659229188472342546e-05,0.000000000000000000e+00
4.378775591715858284e-01,2.940806537761333495e-01,5.452366526943853708e-01,4.770353837403656372e-01,5.767760738487585082e-01,7.301885581493936517e-01,3.547647968404500363e-01,4.999793045988536466e-01,6.744507585551979822e-01,5.215014320368006190e-02,4.951876268476226306e-01,6.854541231142231572e-01,5.182335304904913753e-05,0.000000000000000000e+00
3.459569265305608154e-01,3.609125376639872318e-01,7.030484367663953904e-01,2.563808600468651666e-01,5.883895494994098030e-01,7.215467614838467769e-01,3.514864115546120771e-01,5.157453128312581292e-01,6.788904312914838535e-01,4.850597885053970632e-02,6.832415100019995080e-01,6.855478427574847045e-01,5.332934464568917518e-05,0.000000000000000000e+00
4.337523931577755287e-01,2.926790889531264428e-01,5.429162635153284011e-01,4.771566218783000468e-01,5.783306180649094852e-01,7.305959857291538517e-01,3.248305032123319780e-01,9.939004977692843523e-01,6.717999057235983784e-01,5.141080259299981442e-02,6.832554719076151528e-01,4.582444209496293608e-01,5.578447003731166467e-05,0.000000000000000000e+00
4.337548767908159242e-01,2.926816607477849552e-01,5.431129819526459013e-01,4.773866804613123849e-01,5.774028410238691844e-01,7.293936804892273695e-01,3.794196526879531350e-01,9.944511747731652473e-01,6.718289375462593860e-01,5.142548332803312944e-02,6.849751077729966386e-01,6.854210601366120814e-01,5.653081763278905913e-05,0.000000000000000000e+00
7.463602472450898695e-01,4.108582766084234450e-01,5.726601961518941186e-01,4.291204943625046009e-01,5.030670347858074987e-01,7.707849298625152334e-01,3.284236841043641775e-01,5.086556742361361128e-01,6.694947627208052143e-01,5.200334369416705765e-02,6.861069824153888108e-01,6.860918428456114215e-01,5.583135110008384918e-05,0.000000000000000000e+00
4.335743737628584005e-01,2.928301067280494330e-01,5.429208169098576064e-01,4.766134725070503841e-01,5.796544748056201568e-01,7.291116654777490824e-01,2.612727946999487960e-01,9.846810639925713815e-01,6.718281273336993431e-01,5.141179565075464780e-02,6.834205525437215822e-01,6.854044756666507476e-01,5.626082609264966951e-05,0.000000000000000000e+00
4.358245932697275560e-01,2.943495747086452563e-01,5.410499652946433313e-01,4.756575455259250962e-01,5.772952667164847895e-01,7.295768663268880072e-01,3.583797993321512498e-01,4.987319066718192695e-01,6.720392563346871961e-01,5.162839982710851205e-02,6.802205357821080600e-01,9.194318256633089437e-01,5.747028911332730363e-05,0.000000000000000000e+00
4.491029875651555425e-01,3.258387893118173118e-01,8.047418353344361064e-01,4.669374495233191702e-01,5.755562048160683952e-01,7.296233293922383956e-01,3.527478227654013976e-01,5.039151023496560855e-01,6.767000327381350600e-01,5.285014540414934708e-02,6.892334823030866753e-01,6.856252133529435744e-01,5.385843357430655570e-05,0.000000000000000000e+00
4.336750583824234839e-01,2.929940755618496984e-01,5.431610480816724262e-01,4.763081197110299314e-01,5.774202119805864619e-01,7.294515552464394537e-01,3.547971906801710151e-01,4.998364243519065608e-01,6.740225550748815131e-01,5.193622315299799980e-02,6.889512118689024023e-01,5.236894306000614563e-01,5.551915616533833250e-05,0.000000000000000000e+00
4.406321719679914817e-01,3.068067000242882258e-01,3.705628681035216809e-01,5.061919064432867099e-01,5.737019879456000115e-01,7.314704716281102970e-01,3.524031185373154851e-01,5.035691670380262330e-01,6.763014354346369439e-01,5.039974585959215714e-02,6.831659192876358144e-01,6.867536492603516507e-01,5.610791388175522063e-05,0.000000000000000000e+00
4.502649408057192715e-01,3.386648849050309940e-01,5.757684183092556252e-01,7.130840752094643742e-01,5.708069786438435544e-01,7.295501805360266045e-01,3.500305097976354474e-01,5.052289557736456826e-01,6.787110182108060386e-01,5.425971952739833126e-02,6.832060638789748674e-01,6.855386577138444792e-01,5.534055054226934755e-05,0.000000000000000000e+00
1.566321253500543853e-01,1.239657721349284591e-01,6.180588636066799424e-01,4.835356518497222478e-01,6.197846080517666056e-01,7.182520615276315468e-01,3.635602888724217552e-01,5.112023321878718107e-01,6.705865414870721963e-01,5.194405365911481526e-02,6.832263796196043071e-01,6.857910838428464828e-01,5.205500861754213402e-05,0.000000000000000000e+00
4.294633648710919904e-01,2.949254606421458647e-01,5.448819403831092201e-01,4.744926330780373513e-01,5.726459868762544536e-01,7.237005160971454742e-01,7.373923772561011836e-01,7.589531310975266010e-01,6.719482679910366851e-01,5.134744174246814313e-02,6.752542845927561599e-01,6.855031500062037653e-01,5.781118276398965802e-05,0.000000000000000000e+00
4.392654573722390987e-01,2.884874810761804964e-01,5.337705690187156682e-01,4.774818478966380564e-01,5.779157102574213889e-01,7.305702714203577974e-01,3.564884856930731205e-01,5.005513901144751365e-01,2.230596110969049750e-01,7.106877255851052899e-01,6.828358911998919645e-01,6.858744369587534973e-01,5.750894022237213257e-05,0.000000000000000000e+00
4.345478754299867408e-01,2.932257527628805982e-01,5.410210467717773142e-01,4.740659451411406988e-01,5.748498902379320930e-01,7.238180899704842464e-01,7.130560465484186983e-01,9.931165307566641731e-02,6.716884689688797927e-01,5.146148705990093858e-02,6.837469827273016110e-01,6.857865046376973028e-01,6.708381660964812853e-05,0.000000000000000000e+00
2.252562603222854620e-01,5.307079741174844933e-01,5.399870102209380907e-01,4.933215057249315527e-01,6.223038728701439926e-01,7.518346960131848666e-01,3.048507120548929472e-01,4.918580376681929156e-01,6.760563943902619943e-01,5.076279254392426082e-02,6.796959089692891087e-01,6.856624355782673375e-01,5.820225666285279171e-05,0.000000000000000000e+00
4.723605214339058889e-01,3.235433629744191020e-01,4.535650420677771466e-01,3.387521160700648348e-01,5.671564805554499822e-01,7.386841265236993026e-01,3.449491347708835698e-01,5.059113141339517394e-01,6.690667199474341631e-01,5.216302019738690288e-02,6.849314107041362121e-01,6.850516558811848844e-01,5.667549527544252013e-05,0.000000000000000000e+00
4.436711581169612284e-01,2.941716658962211239e-01,6.022114104183118322e-01,4.734599812800625585e-01,5.756403668460499112e-01,7.318265200770506240e-01,3.539803981893999141e-01,5.022054384413290329e-01,6.721823272442221109e-01,5.208234609635466889e-02,6.829353092729227859e-01,6.856191943381637621e-01,5.332727491086949965e-05,0.000000000000000000e+00
4.334252473975033770e-01,2.926028940899949582e-01,5.439953314131232842e-01,4.765311765655296239e-01,5.775423251957504389e-01,7.293521916915930436e-01,3.555355677168109407e-01,4.984534852790781789e-01,6.732695078270606315e-01,5.183634752452176420e-02,8.138580925541688549e-01,6.852259785062047026e-01,4.917255739481931568e-05,0.000000000000000000e+00
4.337524123326645387e-01,2.926790191881318837e-01,5.426897444878281407e-01,4.768418498928570504e-01,5.775466592968588886e-01,7.293835454585871902e-01,3.382749898815258782e-01,9.973694918323503522e-01,6.717711643664796561e-01,5.138211853122176542e-02,6.832321665703340319e-01,6.852859908116786247e-01,9.838061935229559518e-01,0.000000000000000000e+00
4.335734226054452911e-01,2.919611834464624911e-01,5.433464372322659441e-01,4.767410902840883979e-01,5.727590726589206760e-01,7.296561816086049035e-01,4.744946780659490826e-01,9.856727458879595005e-01,6.717848853251301433e-01,5.143787996915154953e-02,6.835950624617176397e-01,6.824701642612148733e-01,5.514523711822646307e-05,0.000000000000000000e+00
